iter	RMSE
0	9.074676715
1	8.884518487
2	8.719474272
3	8.567279101
4	8.388318096
5	8.232295451
6	8.118566134
7	7.969354286
8	7.82557518
9	7.690522332
10	7.5588411
11	7.419566461
12	7.284511396
13	7.156415345
14	7.016115376
15	6.902310865
16	6.79175132
17	6.693972429
18	6.587623631
19	6.486678343
20	6.356062996
21	6.237772044
22	6.157062495
23	6.049811559
24	5.953292347
25	5.863224173
26	5.773235333
27	5.694793783
28	5.61137327
29	5.529378084
30	5.450221753
31	5.365810446
32	5.285861795
33	5.210100931
34	5.142298479
35	5.088102405
36	5.01506279
37	4.946508313
38	4.886709981
39	4.817444027
40	4.751424265
41	4.705949105
42	4.644938661
43	4.585718176
44	4.528989113
45	4.466791405
46	4.413132786
47	4.356647006
48	4.29018759
49	4.231968844
50	4.181428781
51	4.130784781
52	4.089981164
53	4.04348479
54	3.997101878
55	3.95535472
56	3.920652734
57	3.873313225
58	3.843395299
59	3.806997915
60	3.7721813
61	3.744852923
62	3.715401391
63	3.680986295
64	3.645610739
65	3.615138537
66	3.586081155
67	3.550117275
68	3.520357732
69	3.489081323
70	3.460652024
71	3.435337969
72	3.40820373
73	3.38726436
74	3.364356789
75	3.335536842
76	3.309405596
77	3.281868702
78	3.255330692
79	3.228157852
80	3.199087081
81	3.175111978
82	3.158623599
83	3.142328204
84	3.121291441
85	3.096509462
86	3.079568718
87	3.059288611
88	3.038637435
89	3.020571545
90	3.004872925
91	2.989089646
92	2.968150765
93	2.954670609
94	2.94495411
95	2.931315033
96	2.91561086
97	2.895845889
98	2.882483217
99	2.867914529
100	2.855575724
101	2.844700718
102	2.828754424
103	2.82019606
104	2.808321416
105	2.791183806
106	2.779912612
107	2.76621898
108	2.747227148
109	2.734345882
110	2.726183373
111	2.71446825
112	2.704022633
113	2.694085267
114	2.682352827
115	2.667039009
116	2.662440226
117	2.644702892
118	2.633768366
119	2.624691199
120	2.619098807
121	2.605188775
122	2.591942972
123	2.582392869
124	2.573257088
125	2.561793472
126	2.552790209
127	2.543137253
128	2.537955869
129	2.525551326
130	2.516780095
131	2.509794908
132	2.504659318
133	2.491365561
134	2.478896146
135	2.469567774
136	2.457601681
137	2.449042069
138	2.440912315
139	2.427465138
140	2.418600417
141	2.411444123
142	2.399856492
143	2.392126168
144	2.375673954
145	2.369275863
146	2.362871154
147	2.354772395
148	2.344080298
149	2.336690219
150	2.326206906
151	2.317771858
152	2.310577183
153	2.304927749
154	2.298739525
155	2.284894718
156	2.278851064
157	2.267933564
158	2.263347222
159	2.255697088
160	2.247702151
161	2.239858542
162	2.234843925
163	2.223532169
164	2.219834997
165	2.210959038
166	2.206272411
167	2.199139729
168	2.190010678
169	2.18786119
170	2.181562983
171	2.17543387
172	2.164339403
173	2.154262194
174	2.14912517
175	2.140062269
176	2.134597523
177	2.124693085
178	2.118057592
179	2.113120841
180	2.104035978
181	2.099391967
182	2.094877486
183	2.086166956
184	2.076546457
185	2.072972215
186	2.066369084
187	2.061324987
188	2.054545684
189	2.044718139
190	2.039536593
191	2.031663581
192	2.026070025
193	2.022124258
194	2.016113512
195	2.011565963
196	2.006008258
197	1.999459934
198	1.992453043
199	1.985130067
200	1.980428477
201	1.977317139
202	1.972378817
203	1.968124391
204	1.964068866
205	1.960226389
206	1.954588504
207	1.951420276
208	1.944664761
209	1.940330237
210	1.932959869
211	1.926160061
212	1.921180444
213	1.914455794
214	1.908756534
215	1.905475647
216	1.898514801
217	1.892423685
218	1.887652211
219	1.885535416
220	1.880130978
221	1.874325326
222	1.866944609
223	1.862746667
224	1.856323517
225	1.85359894
226	1.848534001
227	1.846107057
228	1.843632786
229	1.841092338
230	1.834550834
231	1.832666592
232	1.830609705
233	1.824641024
234	1.8184285
235	1.816525115
236	1.813781211
237	1.808623045
238	1.806604858
239	1.802029292
240	1.796763126
241	1.790820521
242	1.787163078
243	1.780547975
244	1.774370373
245	1.772282324
246	1.766525113
247	1.762286131
248	1.754724028
249	1.749573124
250	1.74671403
251	1.744493343
252	1.739994486
253	1.735123518
254	1.733841515
255	1.728423554
256	1.726628859
257	1.719477204
258	1.715533902
259	1.709404942
260	1.708013033
261	1.703186874
262	1.698024964
263	1.693268065
264	1.688370626
265	1.686938358
266	1.682304655
267	1.676762648
268	1.672968988
269	1.670876329
270	1.666215605
271	1.664899924
272	1.659373395
273	1.657253266
274	1.652293823
275	1.651031701
276	1.647422165
277	1.64325694
278	1.639839586
279	1.637688445
280	1.633026461
281	1.631898889
282	1.626947164
283	1.622360393
284	1.621286708
285	1.617294382
286	1.615972671
287	1.614700057
288	1.610814619
289	1.606187066
290	1.60409227
291	1.602988682
292	1.600123518
293	1.595620418
294	1.591188124
295	1.590208364
296	1.58447639
297	1.580618351
298	1.575680538
299	1.571215053
300	1.569378193
301	1.567662919
302	1.562768673
303	1.557716922
304	1.552851317
305	1.548483409
306	1.544020774
307	1.539849758
308	1.536551835
309	1.535447831
310	1.532028307
311	1.527823586
312	1.524087589
313	1.523249515
314	1.520073062
315	1.516299785
316	1.509919966
317	1.506600722
318	1.505379309
319	1.502579843
320	1.499175188
321	1.497408973
322	1.492802798
323	1.489990572
324	1.488731875
325	1.48751575
326	1.484831861
327	1.480580089
328	1.476832685
329	1.472373183
330	1.468438882
331	1.465909476
332	1.462318614
333	1.458598452
334	1.455665633
335	1.452253237
336	1.448048696
337	1.444991442
338	1.440228122
339	1.439441046
340	1.434880687
341	1.431373109
342	1.429145305
343	1.427887551
344	1.427171308
345	1.426542964
346	1.423685807
347	1.420281419
348	1.415860099
349	1.415181918
350	1.413137605
351	1.411966135
352	1.408912319
353	1.406021758
354	1.404973199
355	1.404322477
356	1.400119709
357	1.399419352
358	1.396530009
359	1.392829899
360	1.392219431
361	1.388575761
362	1.387992252
363	1.385964923
364	1.385374063
365	1.381389429
366	1.376857724
367	1.375829147
368	1.371480602
369	1.370910244
370	1.366780584
371	1.363899541
372	1.36124986
373	1.357668018
374	1.357155418
375	1.355880066
376	1.352743101
377	1.352236771
378	1.351755338
379	1.347321499
380	1.343127785
381	1.340854522
382	1.337795378
383	1.333682485
384	1.332736988
385	1.329947829
386	1.326014753
387	1.323001677
388	1.322496345
389	1.319089485
390	1.315647198
391	1.315167253
392	1.31404058
393	1.310946065
394	1.308414717
395	1.307462533
396	1.306977513
397	1.304187849
398	1.300499355
399	1.296114078
400	1.293719418
401	1.291433776
402	1.287117061
403	1.282257811
404	1.277987029
405	1.277519604
406	1.27386514
407	1.273032028
408	1.270179998
409	1.265865759
410	1.265469717
411	1.265035366
412	1.261934563
413	1.259642389
414	1.256991799
415	1.252577889
416	1.25213981
417	1.248644505
418	1.245357723
419	1.242495812
420	1.239787329
421	1.238998608
422	1.236177699
423	1.233108453
424	1.232041284
425	1.229576289
426	1.225506171
427	1.221543877
428	1.217456339
429	1.217036076
430	1.213489279
431	1.213097955
432	1.211206576
433	1.210789537
434	1.210326005
435	1.207903954
436	1.204081162
437	1.203716745
438	1.203296143
439	1.199813152
440	1.197309614
441	1.196938799
442	1.194109248
443	1.193664247
444	1.19326662
445	1.191432227
446	1.188652515
447	1.188025035
448	1.186548739
449	1.182605181
450	1.180147812
451	1.179795503
452	1.179456727
453	1.176963139
454	1.174928389
455	1.172743153
456	1.172426369
457	1.167853574
458	1.165705505
459	1.163543757
460	1.16321407
461	1.1608978
462	1.157181477
463	1.154772278
464	1.152021262
465	1.149297939
466	1.147728083
467	1.147273228
468	1.146955424
469	1.146633537
470	1.143219619
471	1.139049109
472	1.134745569
473	1.131898702
474	1.129047741
475	1.126754493
476	1.12443715
477	1.124142936
478	1.123869878
479	1.121795449
480	1.121503532
481	1.11990885
482	1.118334334
483	1.115161467
484	1.11286386
485	1.110427609
486	1.110166911
487	1.107155599
488	1.102918056
489	1.100504499
490	1.098016804
491	1.094657514
492	1.09111475
493	1.087868731
494	1.083832733
495	1.08112348
496	1.078499693
497	1.078001768
498	1.076166019
499	1.073895171
500	1.070300427
501	1.068149985
502	1.065600679
503	1.064086991
504	1.063227871
505	1.06301058
506	1.062125757
507	1.059836343
508	1.057747107
509	1.05564457
510	1.05316773
511	1.052700989
512	1.05190202
513	1.051517235
514	1.050023182
515	1.045423852
516	1.043814568
517	1.040368919
518	1.03682162
519	1.035828033
520	1.034422238
521	1.032458495
522	1.030430306
523	1.028736164
524	1.026574532
525	1.02391827
526	1.021622302
527	1.020128226
528	1.019396893
529	1.016750409
530	1.013772414
531	1.011671572
532	1.00854104
533	1.005469741
534	1.003221444
535	1.001108169
536	0.998577702
537	0.9964323138
538	0.9941879996
539	0.992610578
540	0.9892743757
541	0.9863199323
542	0.9844756679
543	0.9827414306
544	0.9797317224
545	0.9773645725
546	0.9749674754
547	0.9726620903
548	0.9704991499
549	0.9689249446
550	0.9662348613
551	0.9644625149
552	0.9618805132
553	0.9591374298
554	0.957747203
555	0.9559288221
556	0.9541490819
557	0.9512207876
558	0.9491093261
559	0.9484603234
560	0.9470313963
561	0.9444374431
562	0.94281483
563	0.9408824816
564	0.9392769233
565	0.9370992689
566	0.9366510451
567	0.93455639
568	0.9319521725
569	0.9298317969
570	0.9292200756
571	0.9267144355
572	0.9243337472
573	0.9225325662
574	0.9217630723
575	0.9193808307
576	0.9171472303
577	0.9157712778
578	0.9142477675
579	0.9112116719
580	0.9098450972
581	0.9079635249
582	0.9060994035
583	0.9040616195
584	0.9018608207
585	0.8994828209
586	0.8973415818
587	0.8957312983
588	0.893536944
589	0.8915325508
590	0.8896764725
