iter	Passed	Remaining
0	0	361
1	0	321
2	0	304
3	1	303
4	1	305
5	1	295
6	2	290
7	2	286
8	2	283
9	2	280
10	3	278
11	3	277
12	3	274
13	3	272
14	4	271
15	4	270
16	4	271
17	4	270
18	5	269
19	5	268
20	5	268
21	6	267
22	6	267
23	6	267
24	6	266
25	7	265
26	7	264
27	7	263
28	7	263
29	8	262
30	8	263
31	8	262
32	8	262
33	9	261
34	9	261
35	9	262
36	10	262
37	10	261
38	10	261
39	10	261
40	11	260
41	11	260
42	11	259
43	11	258
44	12	258
45	12	258
46	12	258
47	13	258
48	13	257
49	13	257
50	13	256
51	14	256
52	14	256
53	14	256
54	14	255
55	15	255
56	15	255
57	15	255
58	15	254
59	16	258
60	16	258
61	17	257
62	17	257
63	17	257
64	17	257
65	18	257
66	18	257
67	18	257
68	19	257
69	19	256
70	19	256
71	19	256
72	20	255
73	20	255
74	20	255
75	20	254
76	21	254
77	21	253
78	21	253
79	21	252
80	22	252
81	22	251
82	22	250
83	22	250
84	23	249
85	23	249
86	23	248
87	23	248
88	24	248
89	24	247
90	24	247
91	25	246
92	25	246
93	25	246
94	25	245
95	26	246
96	26	245
97	26	245
98	26	245
99	27	245
100	27	244
101	27	244
102	28	244
103	28	243
104	28	243
105	28	243
106	29	242
107	29	242
108	29	242
109	29	241
110	30	241
111	30	241
112	30	240
113	30	240
114	31	240
115	31	239
116	31	239
117	32	239
118	32	238
119	32	238
120	32	238
121	33	238
122	33	237
123	33	237
124	33	237
125	34	237
126	34	237
127	34	236
128	35	236
129	35	236
130	35	235
131	35	235
132	36	235
133	36	234
134	36	234
135	36	234
136	37	234
137	37	234
138	37	233
139	38	233
140	38	233
141	38	233
142	38	232
143	39	232
144	39	232
145	39	231
146	39	231
147	40	231
148	40	230
149	40	230
150	40	230
151	41	230
152	41	230
153	41	229
154	42	229
155	42	229
156	42	229
157	42	229
158	43	228
159	43	228
160	43	228
161	44	228
162	44	227
163	44	227
164	44	227
165	45	226
166	45	226
167	45	226
168	45	226
169	46	225
170	46	225
171	46	225
172	47	225
173	47	225
174	47	224
175	47	224
176	48	224
177	48	223
178	48	223
179	49	223
180	49	223
181	49	222
182	49	222
183	50	222
184	50	222
185	50	221
186	50	221
187	51	220
188	51	220
189	51	220
190	51	220
191	52	220
192	52	219
193	52	219
194	53	219
195	53	219
196	53	218
197	53	218
198	54	218
199	54	218
200	54	217
201	55	217
202	55	217
203	55	217
204	55	216
205	56	216
206	56	216
207	56	215
208	56	215
209	57	215
210	57	214
211	57	214
212	57	214
213	58	213
214	58	213
215	58	213
216	59	213
217	59	212
218	59	212
219	59	212
220	60	212
221	60	212
222	60	211
223	61	211
224	61	211
225	61	210
226	61	210
227	62	210
228	62	210
229	62	209
230	62	209
231	63	209
232	63	209
233	63	208
234	64	208
235	64	208
236	64	207
237	64	207
238	65	207
239	65	207
240	65	206
241	65	206
242	66	206
243	66	206
244	66	205
245	67	205
246	67	205
247	67	204
248	67	204
249	68	204
250	68	203
251	68	203
252	68	203
253	69	203
254	69	202
255	69	202
256	70	202
257	70	202
258	70	201
259	70	201
260	71	201
261	71	200
262	71	200
263	71	200
264	72	200
265	72	199
266	72	199
267	72	199
268	73	198
269	73	198
270	73	198
271	74	198
272	74	197
273	74	197
274	74	197
275	75	197
276	75	196
277	75	196
278	75	196
279	76	195
280	76	195
281	76	195
282	77	195
283	77	194
284	77	194
285	77	194
286	78	194
287	78	193
288	78	193
289	78	193
290	79	192
291	79	192
292	79	192
293	79	192
294	80	191
295	80	191
296	80	191
297	81	190
298	81	190
299	81	190
300	81	190
301	82	189
302	82	189
303	82	189
304	82	188
305	83	188
306	83	188
307	83	188
308	84	187
309	84	187
310	84	187
311	84	187
312	85	186
313	85	186
314	85	186
315	85	186
316	86	185
317	86	185
318	86	185
